post_name;poids;Région;Domaine;Appellation;Couleur;Cépage;Millésime;Garde;Contenance;Degré d'alcool;Température dégustation;Alliance mets
mas-laval-terrasse-larzac-grande-cuvee-2016;1.5 kg;Languedoc-Roussillon;Mas Laval;Terrasses du Larzac;Rouge;Grenache, Mourvèdre, Syrah;2018;8-10 ans;75cl;14%;17°C;Grillades, Légumes croquants, Viande rouge
montrose-cotes-de-thongue-2018;1.5 kg;Languedoc-Roussillon;Domaine Montrose;Côtes de Thongue;Rouge;Grenache, Merlot, Syrah;2019;4 ans;75cl;12,50%;15°C;Grillades, Légumes croquants, Viande rouge
domaine-montrose-cotes-de-thongue-rose-2019;1.5 kg;Languedoc-Roussillon;Domaine Montrose;Côtes de Thongue;Rosé;Cabernet Sauvignon, Grenache, Syrah;2021;;75cl;12,50%;11°C;Apéritif, Grillades, Légumes croquants, Salade
lucien-boillot-nuits-saint-georges-1ercru-pruliers-2017;1.5 kg;Bourgogne;Lucien Boillot;Nuits-Saint-Georges 1er Cru;Rouge;Pinot Noir;2017;15 ans et +;75cl;13,5%;15°C;Canard, Gibier, Terrines, Viande rouge
lucien-boillot-pommard-2017;1.5 kg;Bourgogne;Lucien Boillot;Pommard;Rouge;Pinot Noir;2019;10-15 ans;75cl;13,5%;15°C;Gibier, Terrines, Viande rouge
lucien-boillot-volnay-2017;1.5 kg;Bourgogne;Lucien Boillot;Volnay;Rouge;Pinot Noir;2019;10-15 ans;75cl;13,5%;15°C;Risotto, Terrines, Viande rouge, Volaille
lucien-boillot-volnay-1ercru-angles-2017;1.5 kg;Bourgogne;Lucien Boillot;Volnay 1er Cru;Rouge;Pinot Noir;2017;10-15 ans;75cl;13,5%;15°C;Risotto, Terrines, Viande rouge, Volaille
marc-colin-saint-aubin-luce-2017;1.5 kg;Bourgogne;Marc Colin;Saint-Aubin;Blanc;Chardonnay;2018;4-7 ans;75cl;13%;12°C;Bouchées à la Reine, Poisson en sauce, Risotto, Volaille
ecu-muscadet-classic-2018;1.5 kg;Vallée de la Loire;Domaine de l'Ecu;Muscadet;Blanc;Melon de Bourgogne;2018;3-5 ans;75cl;12%;11°C;Crustacés, Fromage de chèvre, Huîtres, Poisson grillé
domaine-de-lecu-muscadet-granite-2018;1.5 kg;Vallée de la Loire;Domaine de l'Ecu;Muscadet;Blanc;Melon de Bourgogne;2018;6-8 ans;75cl;12%;11°C;Crustacés, Fromage de chèvre, Homard, Huîtres, Poisson grillé
domaine-de-lecu-muscadet-orthogneiss-2014;1.5 kg;Vallée de la Loire;Domaine de l'Ecu;Muscadet;Blanc;Melon de Bourgogne;2018;6-8 ans;75cl;12%;11°C;Crustacés, Cuisine Asiatique, Homard, Huîtres, Poisson grillé
frissant-chenin-pierres-2018;1.5 kg;Vallée de la Loire;Xavier Frissant;Touraine Amboise;Blanc;Chenin;2018;3-5 ans;75cl;;11°C;Crustacés, Poisson grillé, Viande Blanche
xavier-frissant-touraine-roses-du-clos-2018;1.5 kg;Vallée de la Loire;Xavier Frissant;Touraine;Blanc;Fié Gris;2019;3-5 ans;75cl;;11°C;Crustacés, Poisson en sauce, Viande Blanche
xavier-frissant-touraine-amboise-m-de-la-touche-2016;1.5 kg;Vallée de la Loire;Xavier Frissant;Touraine Amboise;Rouge;Côt;2018;3-5 ans;75cl;;15°C;Poisson grillé, Viande rouge, Volaille
xavier-frissant-touraine-sauvignon-2019;1.5 kg;Vallée de la Loire;Xavier Frissant;Touraine;Blanc;Sauvignon Blanc;2020;3 ans;75cl;;11°C;Apéritif, Poisson grillé, Volaille
pierre-martin-sancerre-rouge-2017;1.5 kg;Vallée de la Loire;Pierre Martin;Sancerre;Rouge;Pinot Noir;2019;5-7 ans;75cl;;15°C;Grillades, Lapin, Tourte, Volaille
pierre-martin-sancerre-chavignol-blanc-2019;1.5 kg;Vallée de la Loire;Pierre Martin;Sancerre;Blanc;Sauvignon Blanc;2021;3-5 ans;75cl;;11°C;Crustacés, Cuisine Asiatique, Fruits de mer, Poissons
cotelleraie-saint-nicolas-croisee-2018;1.5 kg;Vallée de la Loire;Domaine de La Cotelleraie;Saint-Nicolas-De-Bourgueil;Rouge;Cabernet Franc;2019;3-5 ans;75cl;12,50%;14°C;Charcuterie, Viande Blanche, Volaille
belliviere-jasnieres-rosiers-2015;1.5 kg;Vallée de la Loire;Domaine de Bellivière;Saint-Nicolas-De-Bourgueil;Blanc;Chenin;2015;4-7 ans;75cl;12%;12°C;Crustacés, Fromage de chèvre, Poisson grillé
merieau-touraine-arpent-vaudons-2018;1.5 kg;Vallée de la Loire;Domaine Mérieau;Touraine;Blanc;Sauvignon Blanc;2021;3 ans;75cl;12%;11°C;Crustacés, Huîtres, Poisson grillé
catena-zapata-mendoza-alamos-malbec-2018;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Catena Zapata;Mendoza;Rouge;Malbec;2020;3-5 ans;75cl;12,50%;16°C;Gibier, Grillades, Viande rouge
catena-zapata-mendoza-alamos-chardonnay-2019;1.5 kg;Vins du Monde;Sélection de Vins Etrangers, Catena Zapata;Mendoza;Blanc;Chardonnay;2019;3-5 ans;75cl;13%;11°C;Crustacés, Poisson grillé, Viande Blanche, Volaille
maroc-graillot-thaleb-tandem-syrah-2015;1.5 kg;Vins du Monde;Graillot-Thaleb;;Rouge;Syrah;2015;3-5 ans;75cl;13%;16°C;Couscous, Cuisine méditerranéenne, Grillades, Viande rouge
augustin-collioure-blanc-adeodat-2019;1.5 kg;Languedoc-Roussillon;Augustin;Collioure;Blanc;Grenache Blanc, Grenache Gris;2020;5-10 ans;75cl;14,5%;12°C;Poisson en sauce, Viande Blanche, Volaille
domaine-augustin-collioure-rouge-adeodat-2017;1.5 kg;Languedoc-Roussillon;Augustin;Collioure;Rouge;Carignan, Grenache;2019;10-15 ans;75cl;14,5%;16°C;Agneau, Charcuterie, Grillades, Viande rouge, Volaille
parce-freres-hommage-fernand-blanc-2019;1.5 kg;Languedoc-Roussillon;Parcé Frères;Côtes Catalanes;Blanc;Macabeu;2020;3-5 ans;75cl;12,50%;12°C;Charcuterie, Poisson grillé, Volaille
parce-freres-cotes-roussillon-zoe-rouge-2018;1.5 kg;Languedoc-Roussillon;Parcé Frères;Côtes du Roussillon Villages;Rouge;Carignan, Grenache;2020;3-5 ans;75cl;13,5%;16°C;Cuisine méditerranéenne, Grillades, Viande rouge
preceptorie-cotes-du-roussillon-coume-marie-2018;1.5 kg;Languedoc-Roussillon;La Preceptorie;;Rouge;Carignan, Grenache;2019;6-8 ans;75cl;15%;16°C;Grillades, Viande Blanche, Viande rouge
parce-freres-igp-pays-oc-zoe-viognier-2019;1.5 kg;Languedoc-Roussillon;Parcé Frères;Pays d'Oc;Blanc;Viognier;2019;3-5 ans;75cl;13,5%;11°C;Apéritif, Poissons, Salade, Volaille
st-denis-macon-lugny-2017;1.5 kg;Bourgogne;Saint-Denis;Mâcon-Lugny;Blanc;Chardonnay;2018;3-5 ans;75cl;13,5%;11°C;Apéritif, Poissons, Salade, Volaille
domaine-saint-denis-macon-chardonnay-2017;1.5 kg;Bourgogne;Saint-Denis;Mâcon-Chardonnay;Blanc;Chardonnay;2017;3-5 ans;75cl;14%;11°C;Apéritif, Poissons, Salade, Volaille
domaine-saint-denis-bourgogne-clos-coque-2018;1.5 kg;Bourgogne;Saint-Denis;Bourgogne;Rouge;Pinot Noir;2019;3-5 ans;75cl;13%;14°C;Charcuterie, Tourte, Viande Blanche, Volaille
domaine-saint-denis-bourgogne-rouge-le-clos-2017;1.5 kg;Bourgogne;Saint-Denis;Bourgogne;Rouge;Pinot Noir;2019;3-5 ans;75cl;13,5%;14°C;Charcuterie, Tourte, Viande Blanche, Volaille
domaine-huet-vouvray-le-clos-du-bourg-moelleux-1ere-trie-2008;1.5 kg;Vallée de la Loire;Huet;Vouvray;Blanc;Chenin;2008;15 ans et +;75cl;12,50%;11°C;Cuisine Exotique, Desserts, Foie gras, Sucré-salé
domaine-huet-vouvray-haut-lieu-sec-2016;1.5 kg;Vallée de la Loire;Huet;Vouvray;Blanc;Chenin;2019;6-8 ans;75cl;13%;11°C;Apéritif, Fruits de mer, Poisson grillé, Volaille
domaine-huet-vouvray-le-mont-moelleux-2015;1.5 kg;Vallée de la Loire;Huet;Vouvray;Blanc;Chenin;2003;15 ans et +;50cl;12,50%;10°C;Foie gras, Fromages persillés
domaine-huet-vouvray-le-mont-sec-2017;1.5 kg;Vallée de la Loire;Huet;Vouvray;Blanc;Chenin;2020;6-8 ans;75cl;13%;11°C;Apéritif, Crustacés, Poissons, Viande Blanche
chermette-vissoux-beaujolais-blanc-collonge-2017;1.5 kg;Beaujolais;Pierre-Marie Chermette;Beaujolais Blanc;Blanc;Chardonnay;2021;3-5 ans;75cl;13%;11°C;Crustacés, Fromage de chèvre, Fruits de mer, Poissons, Viande Blanche, Volaille
chermette-domaine-du-vissoux-beaujolais-griottes-2018;1.5 kg;Beaujolais;Pierre-Marie Chermette;Beaujolais;Rouge;Gamay;2021;3-5 ans;75cl;12,50%;13°C;Charcuterie, Poissons, Salade, Volaille
chermette-domaine-du-vissoux-brouilly-pierreux-2018;1.5 kg;Beaujolais;Pierre-Marie Chermette;Brouilly;Rouge;Gamay;2019;4-7 ans;75cl;13%;13°C;Charcuterie, Poissons, Salade, Volaille
chermette-domaine-du-vissoux-fleurie-poncie-2018;1.5 kg;Beaujolais;Pierre-Marie Chermette;Fleurie;Rouge;Gamay;2021;4-7 ans;75cl;13%;13°C;Charcuterie, Poissons, Salade, Volaille
chermette-domaine-du-vissoux-moulin-a-vent-trois-roches-2018;1.5 kg;Beaujolais;Pierre-Marie Chermette;Moulin à Vent;Rouge;Gamay;2018;6-8 ans;75cl;13%;15°C;Charcuterie, Lapin, Viande rouge, Volaille
bulliat-beaujolais-villages-bibine-2018;1.5 kg;Beaujolais;Bulliat;Beaujolais Villages;Rouge;Gamay;2020;3 ans;75cl;12,50%;13°C;Charcuterie, Salade, Viande Blanche, Volaille
domaine-bulliat-morgon-amphore-cou-de-jus-2019;1.5 kg;Beaujolais;Bulliat;Morgon;Rouge;Gamay;2020;6-8 ans;75cl;13%;15°C;Charcuterie, Salade, Viande Blanche, Viande rouge, Volaille
domaine-bulliat-morgon-colombier-2019;1.5 kg;Beaujolais;Bulliat;Morgon;Rouge;Gamay;2021;3-5 ans;75cl;13%;15°C;Charcuterie, Salade, Viande Blanche, Viande rouge, Volaille
serol-cote-roannaise-originelles-2019;1.5 kg;Vallée de la Loire;Stéphane Sérol;Côte Roannaise;Rouge;Gamay;2019;3-5 ans;75cl;12%;14°C;Charcuterie, Viande Blanche, Volaille
domaine-serol-cote-roannaise-millerands-2018;1.5 kg;Vallée de la Loire;Stéphane Sérol;Côte Roannaise;Rouge;Gamay;2018;5-7 ans;75cl;12%;15°C;Charcuterie, Viande Blanche, Viande rouge, Volaille
domaine-serol-cote-roannaise-perdriziere-2016;1.5 kg;Vallée de la Loire;Stéphane Sérol;Côte Roannaise;Rouge;Gamay;2016;5-7 ans;75cl;12,50%;16°C;Viande en sauce, Viande rouge, Volaille
domaine-serol-cote-roannaise-cabochard-2016;1.5 kg;Vallée de la Loire;Stéphane Sérol;Côte Roannaise;Rosé;Gamay;2016;3 ans;75cl;12,50%;10°C;Apéritif, Desserts, Grillades, Poisson grillé, Salade
domaine-serol-mousseux-turbullent;1.5 kg;Vallée de la Loire;Stéphane Sérol;Vin Mousseux;;Gamay;;3 ans;75cl;8,5%;9°C;Apéritif, Desserts
i-fabbri-chianti-classico-lamole-2017;1.5 kg;Italie;I Fabbri;Chianti Classico;Rouge;Sangiovese;2018;6-8 ans;75cl;13,5%;15°C;Pâtes, Pizza, Viande rouge
i-fabbri-chianti-classico-terra-di-lamole-2015;1.5 kg;Italie;I Fabbri;Chianti Classico;Rouge;10% Canaiolo Nero, 90% Sangiovese;2019;8-10 ans;75cl;13,5%;16°C;Pâtes, Pizza, Veau, Viande rouge, Volaille
i-fabbri-chianti-classico-riserva-2015;1.5 kg;Italie;I Fabbri;Chianti Classico;Rouge;5% Canaiolo, 95% Sangiovese;2016;10-15 ans;75cl;13,5%;16°C;Veau, Viande rouge, Volaille
cazeneuve-languedoc-blanc-2016;1.5 kg;Languedoc-Roussillon;Château de Cazeneuve;Languedoc;Blanc;Grenache Blanc, Roussanne, Vermentino, Viognier;2017;4-7 ans;75cl;14,5%;12°C;Blanquette de veau, Poisson en sauce, Volaille
chateau-de-cazeneuve-val-montferrand-caza-sorix-2019;1.5 kg;Languedoc-Roussillon;Château de Cazeneuve;Pic Saint-Loup;Rouge;Carignan, Merlot, Sangiovese;2019;3-5 ans;75cl;13%;15°C;Grillades, Viande Blanche, Viande rouge, Volaille
chateau-de-cazeneuve-pic-saint-loup-roc-des-mates-2017;1.5 kg;Languedoc-Roussillon;Château de Cazeneuve;Pic Saint-Loup;Rouge;Cinsault, Grenache, Syrah;;8-10 ans;75cl;15%;16°C;Grillades, Viande Blanche, Viande rouge, Volaille
chateau-de-cazeneuve-pic-saint-loup-le-sang-du-calvaire-2017;1.5 kg;Languedoc-Roussillon;Château de Cazeneuve;Pic Saint-Loup;Rouge;5% Syrah, 95% Mourvèdre;2019;10-15 ans;75cl;15%;16°C;Grillades, Viande Blanche, Viande rouge, Volaille
hauvette-baux-provence-amethyste-2017;1.5 kg;Provence;Domaine Hauvette;Les Baux de Provence;Rouge;Carignan, Cinsault, Grenache;2018;10-15 ans;75cl;12,50%;16°C;Grillades, Légumes du Soleil, Mouton, Viande rouge
domaine-hauvette-cornaline-2014;1.5 kg;Provence;Domaine Hauvette;Les Baux de Provence;Rouge;Cabernet Sauvignon, Grenache, Syrah;2014;10-15 ans;75cl;13,5%;16°C;Grillades, Légumes du Soleil, Mouton, Viande rouge
la-tour-du-bon-bandol-blanc-2019;1.5 kg;Provence;La Tour Du Bon;Bandol;Blanc;Clairette, Rolle, Ugni Blanc;2021;3-5 ans;75cl;13%;11°C;Apéritif, Fromage de chèvre, Poisson grillé, Salade
domaine-de-la-tour-du-bon-bandol-2018;1.5 kg;Provence;La Tour Du Bon;Bandol;Rouge;Carignan, Cinsault, Grenache, Mourvèdre;2019;6-8 ans;75cl;14%;18°C;Gibier, Viande rouge
domaine-de-la-tour-du-bon-bandol-saint-ferreol-2018;1.5 kg;Provence;La Tour Du Bon;Bandol;Rouge;10% Carignan, 90% Mourvèdre;2018;15 ans et +;75cl;15%;17°C;Gibier, Viande rouge
domaine-de-la-tour-du-bandol-en-sol-2017;1.5 kg;Provence;La Tour Du Bon;Bandol;Rouge;Mourvèdre;2018;5-10 ans;75cl;14%;17°C;Grillades, Légumes du Soleil, Viande rouge
domaine-de-la-tour-du-bon-bandol-rose-2019;1.5 kg;Provence;La Tour Du Bon;Bandol;Rosé;Cinsault, Clairette, Grenache, Mourvèdre;2021;3-5 ans;75cl;13%;12°C;Couscous, Fruits de mer, Grillades, Légumes du Soleil, Poisson grillé
idylle-savoie-cruet-2018;1.5 kg;Savoie;Domaine de l'Idylle;Savoie;Blanc;Jacquère;2018;3-5 ans;75cl;11,5%;11°C;Apéritif, Fondues, Fromages, Poisson grillé, Raclettes, Viande Blanche
domaine-de-lidylle-savoie-roussette-2018;1.5 kg;Savoie;Domaine de l'Idylle;Roussette de Savoie;Blanc;Altesse;2018;3-5 ans;75cl;13%;12°C;Apéritif, Fondues, Fromages, Poisson grillé, Raclettes, Viande Blanche
domaine-de-lidylle-savoie-mondeuse-2018;1.5 kg;Savoie;Domaine de l'Idylle;Savoie;Rouge;Mondeuse;2018;3-5 ans;75cl;11,5%;14°C;Charcuterie, Fromages, Gigot
champagne-gosset-grand-blanc-de-blanc;1.5 kg;Champagne;Gosset;Champagne;Blanc;Chardonnay;;4 ans;75cl;12%;10°C;Apéritif, Coquilles Saint Jacques, Huîtres, Poissons
champagne-mailly-grand-cru-blanc-de-pinot-noir;1.5 kg;Champagne;Mailly Grand Cru;Champagne;Blanc;Pinot Noir;;4 ans;75cl;12%;10°C;Coquilles Saint Jacques, Foie gras, Poissons, Volaille
champagne-mailly-grand-cru-les-echansons-2007;1.5 kg;Champagne;Mailly Grand Cru;Champagne;Blanc;25% Chardonnay, 75% Pinot Noir;;6-8 ans;75cl;12%;10°C;Coquilles Saint Jacques, Foie gras, Poissons, Volaille
champagne-egly-ouriet-tradition-grand-cru;1.5 kg;Champagne;Egly-Ouriet;Champagne;Blanc;30% Chardonnay, 70% Pinot Noir;;3-5 ans;75cl;12,50%;10°C;Apéritif, Crustacés, Desserts, Poissons
champagne-egly-ouriet-extra-brut-vp;1.5 kg;Champagne;Egly-Ouriet;Champagne;Blanc;30% Chardonnay, 70% Pinot Noir;;6-8 ans;75cl;12,50%;10°C;Apéritif, Crustacés, Desserts, Poissons
champagne-egly-ouriet-grand-cru-millesime-2008;1.5 kg;Champagne;Egly-Ouriet;Champagne;Blanc;30% Chardonnay, 70% Pinot Noir;;10 ans et +;75cl;12,50%;10°C;Apéritif, Crustacés, Desserts, Poissons
champagne-egly-ouriet-grand-cru-brut-rose;1.5 kg;Champagne;Egly-Ouriet;Champagne;;35% Chardonnay, 65% Pinot Noir;;3-5 ans;75cl;12,50%;10°C;Apéritif, Desserts, Tartes aux fruits
champagne-egly-ouriet-grand-cru-brut-blanc-de-noirs;1.5 kg;Champagne;Egly-Ouriet;Champagne;Blanc;Pinot Noir;;5-10 ans;75cl;12,50%;10°C;Apéritif, Desserts, Tartes aux fruits
champagne-egly-ouriet-premier-cru-vrigny;1.5 kg;Champagne;Egly-Ouriet;Champagne;Blanc;100% Pinot Meunier;;3-5 ans;75cl;12,50%;10°C;Apéritif, Desserts
champagne-larmandier-bernier-latitude;1.5 kg;Champagne;Larmandier-Bernier;Champagne;Blanc;Chardonnay;;3-5 ans;75cl;12,50%;10°C;Apéritif, Crustacés, Desserts, Poissons
champagne-larmandier-bernier-vieilles-vignes-levant-2008;1.5 kg;Champagne;Larmandier-Bernier;Champagne;Blanc;Chardonnay;;8-10 ans;75cl;12,50%;10°C;Apéritif, Crustacés, Desserts, Poissons
whisky-wemyss-the-hive;1.5 kg;;;;;;;;70cl;46%;;
whisky-wemyss-peat-chimney;1.5 kg;;;;;;;;70cl;46%;;
whisky-wemyss-spice-king;1.5 kg;;;;;;;;70cl;46%;;
whisky-wemyss-vanilla-burst;1.5 kg;;;;;;;;70cl;46%;;
whisky-wemyss-treacle-chest;1.5 kg;;;;;;;;70cl;46%;;
whisky-lord-elcho;1.5 kg;;;;;;;;70cl;40%;;
whisky-wemyss-the-hive-12-ans;1.5 kg;;;;;;;;70cl;40%;;
whisky-wemyss-the-hive-batch-strength;1.5 kg;;;;;;;;70cl;54,5%;;
whisky-wemyss-peat-chimney-batch-strength;1.5 kg;;;;;;;;70cl;57%;;
whisky-wemyss-spice-king-batch-strength;1.5 kg;;;;;;;;70cl;57%;;
cognac-frapin-1270;1.5 kg;;;Cognac Grande Champagne 1er Cru;;;;;70cl;40%;;
cognac-frapin-vsop;1.5 kg;;;Cognac Grande Champagne 1er Cru;;;;;70cl;40%;;
cognac-frapin-vip-xo;1.5 kg;;;Cognac Grande Champagne 1er Cru;;;;;70cl;40%;;
cognac-frapin-fontpinot-xo;1.5 kg;;;Cognac Grande Champagne 1er Cru;;;;;70cl;41%;;
cognac-frapin-chateau-de-fontpinot-xo-1-2;1.5 kg;;;Cognac Grande Champagne 1er Cru;;;;;70cl;41%;;
cognac-frapin-chateau-de-fontpinot-1989-20-ans;1.5 kg;;;Cognac Grande Champagne 1er Cru;;;;;70cl;41,3%;;
cognac-frapin-cigar-blend;1.5 kg;;;Cognac Grande Champagne 1er Cru;;;;;70cl;40%;;
montcalmes-larzac-rouge-2017;1.5 kg;Languedoc-Roussillon;Domaine de Montcalmès;Terrasses du Larzac;Rouge;Grenache, Mourvèdre, Syrah;2019;8-10 ans;75cl;14%;15°C;Agneau, Grillades, Tajine, Viande rouge
domaine-giudicelli-vfd-ete-rouge-2018;1.5 kg;Corse;Domaine Giudicelli;;Rouge;Grenache, Sciacarello;2018;3 ans;75cl;13,5%;13°C;Apéritif, Charcuterie, Fromages, Poissons, Volaille
domaine-de-montcalmes-ct-languedoc-blanc-2017;1.5 kg;Languedoc-Roussillon;Domaine de Montcalmès;Coteaux du Languedoc;Blanc;Marsanne, Roussanne;2018;5-10 ans;75cl;13,5%;12°C;Fromages, Poisson en sauce, Volaille
marc-colin-et-fils-chassagne-montrachet-blanc-margot-2017;1.5 kg;Bourgogne;Marc Colin;Chassagne-Montrachet;Blanc;Chardonnay;2018;4-7 ans;75cl;13%;12°C;Bouchées à la Reine, Ris de veau, Risotto, Volaille
marc-colin-et-fils-saint-aubin-en-montceau-2017;1.5 kg;Bourgogne;Marc Colin;Saint-Aubin;Blanc;Chardonnay;2018;4-7 ans;75cl;13%;12°C;Bouchées à la Reine, Dorade Grillée, Ris de veau, Volaille
marc-colin-et-fils-chassagne-montrachet-rouge-vieilles-vignes-2017;1.5 kg;Bourgogne;Marc Colin;Chassagne-Montrachet;Rouge;Pinot Noir;2018;4-7 ans;75cl;13%;15°C;Entrecôte, Foie de Veau, Terrine de Lapin
catherine-et-claude-marechal-bourgogne-aligote-2018;1.5 kg;Bourgogne;Catherine et Claude Maréchal;Bourgogne Aligoté;Blanc;Aligoté;2018;3-5 ans;75cl;12,50%;12°C;Andouillettes, Escargots de Bourgogne, Fromages, Jambon persillé
catherine-et-claude-marechal-chorey-les-beaune-2017;1.5 kg;Bourgogne;Catherine et Claude Maréchal;Chorey-Lès-Beaune;Rouge;Pinot Noir;2017;4-7 ans;75cl;13%;15°C;Carrelet au cidre, Gratin de chou-fleur
catherine-et-claude-marechal-ladoix-rouge-les-chaillots-2017;1.5 kg;Bourgogne;Catherine et Claude Maréchal;Ladoix;Rouge;Pinot Noir;2017;4-7 ans;75cl;13%;15°C;Boeuf bourguignon, Jambon de Parme, Lapin
catherine-et-claude-marechal-volnay-2017;1.5 kg;Bourgogne;Catherine et Claude Maréchal;Volnay;Rouge;Pinot Noir;2017;8-10 ans;75cl;13,5%;15°C;Fondue Bourguignonne, Fricassé aux cèpes, Risotto aux champignons, Terrine de dinde
francois-bergeret-hautes-cotes-de-beaune-rouge-2017;1.5 kg;Bourgogne;François Bergeret;Hautes Côtes de Beaune;Rouge;Pinot Noir;2017;3-5 ans;75cl;13,5%;15°C;Fondue Bourguignonne, Fricassé aux cèpes, Risotto aux champignons, Terrine de dinde
francois-bergeret-hautes-cotes-de-beaune-blanc-2018;1.5 kg;Bourgogne;François Bergeret;Hautes Côtes de Beaune;Blanc;Chardonnay;2019;3-5 ans;75cl;13%;12°C;Charcuterie, Fromages, Poisson en sauce, Volaille
gilbert-picq-chablis-vosgros-1er-cru-2017;1.5 kg;Bourgogne;Gilbert Picq;Chablis;Blanc;Chardonnay;2019;4-7 ans;75cl;12,50%;12°C;Apéritif, Fruits de mer, Huîtres, Poisson grillé
gilbert-picq-chablis-vieilles-vignes-2017;1.5 kg;Bourgogne;Gilbert Picq;Chablis;Blanc;Chardonnay;2018;3-5 ans;75cl;12,50%;12°C;Apéritif, Fruits de mer, Huîtres, Poisson grillé
gilbert-picq-chablis-2017;1.5 kg;Bourgogne;Gilbert Picq;Chablis;Blanc;Chardonnay;2019;3-5 ans;75cl;12,50%;12°C;Apéritif, Fruits de mer, Huîtres, Poisson grillé
gilbert-picq-chablis-en-vaudecorse-2017;1.5 kg;Bourgogne;Gilbert Picq;Chablis;Blanc;Chardonnay;2019;4-7 ans;75cl;12,50%;12°C;Apéritif, Fruits de mer, Huîtres, Poisson grillé
alphonse-mellot-sancerre-blanc-la-moussiere-2018;1.5 kg;Vallée de la Loire;Alphonse Mellot;Sancerre;Blanc;Sauvignon Blanc;2020;4-7 ans;75cl;12,50%;12°C;Apéritif, Fruits de mer, Huîtres, Poisson grillé
alphonse-mellot-sancerre-rouge-la-demoiselle-2015;1.5 kg;Vallée de la Loire;Alphonse Mellot;Sancerre;Rouge;Pinot Noir;2015;10-15 ans;75cl;13%;15°C;canard sauvage aux épices, Oeufs pochés sauce vigneronne aux cèpes, Poires à la cannelle
alphonse-mellot-sancerre-rouge-generation-xix-2011;1.5 kg;Vallée de la Loire;Alphonse Mellot;Sancerre;Rouge;Pinot Noir;2012;10-15 ans;75cl;13%;15°C;Filet de sandre et de silure à la vigneronne, fricassée de champignons, matelote d'anguille à la Charentaise, Oeufs en meurette
alphonse-mellot-sancerre-rouge-la-moussiere-2014;1.5 kg;Vallée de la Loire;Alphonse Mellot;Sancerre;Rouge;Pinot Noir;2019;5-10 ans;75cl;13%;15°C;Blanquette de veau, Cabillaud sauce vigneronne, Tête de veau sauce gribiche, Tourte de cailles aux cèpes
alphonse-mellot-sancerre-rouge-en-grands-champs-2012;1.5 kg;Vallée de la Loire;Alphonse Mellot;Sancerre;Rouge;Pinot Noir;2016;5-15 ans;75cl;13%;15°C;Cœur de pavé de Charolais à la moelle, Soupe de pêches de vigne à l'anis étoilée, Terrine de foies de volailles à la confiture d'oignon
bernard-baudry-chinon-rouge-les-granges-2018;1.5 kg;Vallée de la Loire;Bernard Baudry;Chinon;Rouge;Cabernet Franc;2020;3-5 ans;75cl;12%;15°C;Charcuterie, Fromages, Rôti de Porc, Viande rouge
bernard-baudry-chinon-rouge-les-grezeaux-2017;1.5 kg;Vallée de la Loire;Bernard Baudry;Chinon;Rouge;Cabernet Franc;2019;5-10 ans;75cl;13%;15°C;Charcuterie, Épaule farcie de mouton berrichon du cher, Fromages, Rôti de Porc, Viande rouge
marcel-windholtz-eau-de-vie-de-sureau;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-sureau-copie;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-poire-williams-reserve-particuliere;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-marc-de-muscat;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-fraise;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-coing;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-baie-de-houx;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-quetsch-dalsace-reserve-particuliere;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-mirabelle-dalsace-reserve-particuliere;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-marc-de-gewurztraminer;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-kirsch-dalsace-reserve-particuliere;1.5 kg;Alsace;;;;;;;70cl;45%;;
marcel-windholtz-eau-de-vie-de-framboise-dalsace;1.5 kg;Alsace;;;;;;;70cl;45%;;
bernard-baudry-chinon-rouge-clos-guillot-2017;1.5 kg;Vallée de la Loire;Bernard Baudry;Chinon;Rouge;Cabernet Franc;2019;5-10 ans;75cl;12,50%;15°C;Charcuterie, Épaule farcie de mouton berrichon du cher, Fromages, Rôti de Porc, Viande rouge
bernard-baudry-chinon-blanc-croix-boissee-2018;1.5 kg;Vallée de la Loire;Bernard Baudry;Chinon;Blanc;Chenin;2020;5-10 ans;75cl;12,50%;12°C;Risotto saumon, Salade de chèvre chaud, Saumon au beurre blanc
bernard-baudry-chinon-blanc-2018;1.5 kg;Vallée de la Loire;Bernard Baudry;Chinon;Blanc;Chenin;2019;3-5 ans;75cl;12,50%;12°C;Risotto saumon, Salade de chèvre chaud, Saumon au beurre blanc
